gene,ctd,number of occurrences
LOC100128988,NF,109
FLT4,NDE,109
LOC105372775,NF,108
TSGA13,NF,108
SYT17,NDE,108
LOC105373151,NF,108
DNAJA4,NDE,106
LOC105370910,NF,106
AXIN1,NDE,106
RAB40AL,NF,106
F2,NDE,105
LOC105372622,NF,105
RPS20,NDE,104
LOC105376592,NF,104
PPP2R5E,NDE,104
TERB1,NDE,104
CTPS2,NDE,104
SCAPER,NDE,104
LOC101927566,NF,103
RAPGEF4,NDE,103
EDA,NDE,103
ASB9,NDE,103
MIR137HG,NDE,103
TSC22D3,NDE,102
LOC105376635,NF,102
LOC101927297,NF,102
LOC105374524,NF,102
KDR,NDE,102
WSCD2,NDE,101
RDH5,NDE,101
BLOC1S1-RDH5,NF,101
ZDHHC13,NDE,101
LINC01493,NF,101
PCBD2,NDE,100
TMPRSS7,NF,100
LOC105369965,NF,100
ATG12,NDE,100
MTUS2-AS1,NF,100
AP3S1,NDE,100
QSOX1,NDE,99
MAP3K15,NDE,99
SRP19,NDE,99
LOC105377540,NF,99
EPHX4,NDE,99
EXT1,NDE,99
AHI1,NDE,99
EPHB1,NDE,99
MEIS2,NDE,99
AVEN,NDE,99
PPP4R2,NDE,98
LOC105369717,NF,98
NEGR1,NDE,98
OR51B5,NF,98
ST6GALNAC1,NF,97
LINC00408,NF,96
LOC100505942,NF,96
EPHA6,NDE,96
MKRN2,NDE,95
LOC100506422,NF,95
MCTP2,NDE,95
LINC-PINT,NF,95
MBNL3,NDE,94
CFAP61,NF,94
KIAA1210,NF,94
TMEM108,NDE,94
SCG5,NDE,94
TMEM108-AS1,NF,94
LINC00508,NF,93
ARHGEF4,NDE,93
ACE,NDE,93
CDH23-AS1,NF,93
MIS18A,NDE,93
CDH23,NDE,93
FLT1,NDE,93
LINC00563,NF,92
FSTL5,NDE,92
LOC105370194,NF,92
LINC02393,NF,91
PUDP,NDE,91
ZNF341,NDE,91
LOC105372693,NF,91
LINC00379,NF,91
LOC105376479,NF,90
ERLIN2,NDE,90
LOC107986833,NF,90
CDHR3,NF,90
LOC105373174,NF,90
LOXL3,NDE,90
LOC105376714,NF,89
PRAMENP,NF,89
IKZF3,NF,89
SLC12A1,NDE,89
LOC105370152,NF,89
DHRS12,NDE,88
JADE3,NDE,88
RXFP2,NDE,88
CACNA1C,NF,88
LOC105370981,NF,88
CERNA3,NF,87
PPP2R5B,NDE,87
SNORD54,NF,87
LYST,NDE,86
OR7E5P,NF,85
CALCR,NDE,85
LOC107984188,NF,85
LOC107985685,NF,85
TMEM72,NF,85
LINC00327,NDE,85
LOC107984540,NF,85
LOC102724019,NF,84
PPHLN1,NDE,84
CADM2,NDE,84
GRIK1,NDE,83
PLS3,NDE,83
PTPRQ,NF,83
FAM234A,NDE,83
CEACAM1,NDE,83
RGS11,NDE,82
LOC105370312,NF,82
LINC02231,NF,82
ELOVL5,NDE,82
SUDS3,NDE,81
GRIA3,NDE,80
LOC105374779,NF,79
SRCAP,NF,79
AEBP2,NDE,79
PTGES3L-AARSD1,NF,79
PTGES3L,NF,79
CEP68,NDE,79
LOC101927837,NF,78
MIR99AHG,NDE,78
RNF220,NF,78
LINC01933,NDE,78
FAM171B,NDE,77
H2AFY,NDE,77
NHEJ1,NDE,77
LOC105374404,NF,77
FYB1,NF,77
LOC107984522,NF,77
ANKLE2,NDE,77
CEACAM8,NF,77
DEFB110,NF,77
LINC00649,NF,76
LOC101929278,NF,76
TNFSF18,NDE,76
LOC105374523,NF,76
KCNK9,NDE,76
COL4A4,NDE,76
FBXL20,NDE,75
OR51I1,NF,75
MITF,NDE,75
LOC107985941,NF,75
JPT2,NDE,75
DPYSL3,NDE,74
LOC105377703,NF,74
ZNF280C,NDE,74
APPBP2,NDE,74
LOC105374558,NF,74
BPIFA2,NF,74
IL17F,NF,74
VWCE,NDE,74
GPRIN2,NF,73
LMO3,NDE,73
LOC105378338,NF,72
ROBO2,NDE,72
LOC102723561,NF,72
SOX5,NDE,72
LINC01515,NF,72
LOC105378346,NF,72
ZDHHC3,NDE,72
LOC105369488,NF,71
RCBTB2,NDE,71
ADGRG2,NDE,71
LOC101928415,NF,71
LOC730183,NF,71
DMRTC2,NDE,70
GIMAP6,NF,70
CEACAM3,NDE,70
KIRREL3,NDE,70
CREBBP,NDE,69
LOC107986021,NF,69
LINC02077,NF,69
TLN2,NDE,69
LOC105369697,NF,67
NKAIN3,NDE,67
GRIK1-AS1,NF,67
LOC101928682,NF,67
LOC105378335,NF,67
LOC105371321,NF,67
PAX9,NF,66
ZSCAN18,NDE,66
PPEF1,NDE,66
CHMP1B2P,NF,66
SPAG17,NDE,66
LOC105369561,NF,65
PEX3,NDE,65
SGPP1,NDE,65
STIL,NDE,64
MED14,NDE,64
KDM1B,NDE,64
F10,NDE,64
NPAS3,NDE,64
ZMYM2,NDE,63
LOC105376733,NF,63
LOC400940,NF,63
LOC105378228,NF,63
GANC,NDE,63
LOC107986335,NF,63
ZFPM2-AS1,NF,63
LOC105370855,NF,62
PLBD1,NDE,62
LOC101928832,NF,62
PHYH,NDE,62
LOC105376449,NF,62
KANK1,NDE,62
P2RY6,NDE,61
ADAMTS3,NDE,61
SEZ6L,NDE,61
XRRA1,NDE,61
LOC105372087,NF,61
LOC105372088,NF,61
SAFB2,NDE,61
PBRM1,NDE,61
STIM1,NDE,60
CXXC1P1,NF,60
NHLRC2,NDE,60
FAM3D-AS1,NF,60
C13orf42,NF,59
SNED1,NDE,59
LOC105373970,NF,59
LOC400800,NF,59
LOC105375594,NF,59
STK11IP,NDE,59
LOC101928106,NF,59
LOC105373440,NF,58
WASHC4,NF,58
LOC107984413,NF,58
XPA,NDE,57
INSR,NDE,57
DYNLT3,NDE,57
GLIPR1,NDE,57
TSPAN13,NDE,57
LOC414300,NF,57
LARS2,NDE,57
LOC107985715,NF,56
LOC107986114,NF,56
HEPHL1,NF,56
IL25,NF,55
LOC105370475,NF,55
CMTM5,NDE,55
DIRC1,NF,55
PPFIA2,NDE,54
LOC107984048,NF,54
LOC105370756,NF,54
LOC105370243,NF,54
LINC00635,NF,53
CAMTA1,NDE,53
PDGFD,NDE,53
TTLL8,NF,53
PPFIA2-AS1,NF,52
MINK1,NDE,52
RICTOR,NDE,52
LOC102724929,NF,52
LINC01987,NF,51
XRCC6P5,NF,51
ZNF254,NDE,51
LINC02578,NF,51
LINC02375,NF,51
LOC105377422,NF,51
LOC100505912,NF,51
SH3KBP1,NDE,51
LOC101928437,NF,50
NDEL1,NDE,50
YAP1,NDE,49
LOC105373459,NF,49
SYNGR1,NDE,49
LINC00395,NF,49
CCDC198,NDE,49
MIR660,NF,49
LOC101928354,NF,48
DRAIC,NDE,48
EPB41L4A,NDE,48
TRIM44,NF,47
KAZN,NDE,47
WNT2B,NDE,47
TPST1,NDE,47
LOC105373397,NF,47
PIPOX,NDE,47
HTATIP2,NDE,47
FSTL4,NF,47
LOC101928836,NF,47
TBX5,NDE,47
LOC105370610,NF,47
ECE1,NDE,46
TK2,NDE,46
FBXL16,NDE,46
CYB561D2,NDE,46
CADM2-AS2,NF,46
NPRL2,NF,46
NUS1,NDE,46
WFDC21P,NDE,45
TLE4,NDE,45
LOC105378889,NF,45
ESRRG,NDE,45
HADH,NDE,45
LOC105378888,NF,45
MYO3B,NDE,45
LOC105372974,NF,45
LRAT,NDE,45
SPRR3,NF,44
FAM32A,NDE,44
ATP8B5P,NF,44
LOC105373345,NF,44
OPRD1,NDE,44
PCSK9,NDE,44
CITED1,NDE,43
PNMA5,NF,43
LOC105372572,NF,43
CNTNAP2,NDE,43
SLC13A5,NDE,43
LOC105378138,NF,43
LOC107986480,NF,43
LOC105378271,NF,43
DACT2,NDE,43
ZNF717,NF,43
CACNB2,NDE,43
HORMAD2,NF,43
CPQ,NDE,43
FGF14,NDE,42
NELL1,NDE,42
MFSD14C,NDE,42
SUPT3H,NDE,42
ZMYM4,NDE,42
PAK3,NDE,42
NLRP8,NF,42
LINC01376,NF,42
ZMYND12,NDE,42
GPC5,NDE,42
LRG1,NDE,41
ALOX5,NDE,41
OR8K3,NF,41
LOC105376384,NF,41
C9,NDE,40
LOC107987473,NF,40
LOC105370757,NF,40
LOC101929770,NF,40
PPEF2,NF,40
SEPT14,NF,40
LOC105379633,NF,40
DOCK1,NDE,39
STK32A,NDE,39
LOC105370328,NF,39
SNAP23,NDE,39
LOC105371735,NF,39
LOC105370519,NF,38
FOXP1,NDE,38
ADGRL3,NDE,38
LOC107984615,NF,38
CHIA,NF,38
LOC107986020,NF,38
KIAA1217,NDE,38
EYA1,NDE,37
ALK,NDE,37
LOC101928103,NF,37
CRYBG1,NDE,37
RUSC2,NDE,37
DZIP3,NDE,37
SARDH,NDE,37
MDGA2,NDE,37
CCDC192,NF,37
NSG1,NDE,37
LOC105369449,NF,37
FAM199X,NDE,37
SLC25A53,NDE,37
LOC107984893,NF,36
GTF2H3,NDE,36
TSHZ3,NDE,36
PBDC1,NDE,36
EIF2B1,NDE,36
CFAP100,NF,35
GLB1,NDE,35
ZNF667-AS1,NF,35
RBMS3,NDE,35
NHS,NDE,35
ARMC6,NDE,35
LOC105374089,NF,35
LOC105372471,NF,35
LOC107986268,NF,34
LOC105371313,NF,34
SH3RF2,NDE,34
CTNND2,NDE,34
LOC105373348,NF,34
LOC107986458,NF,34
DDX25,NDE,34
LOC105371586,NF,34
SLC36A4,NDE,34
LARGE,NF,34
LOC105372633,NF,34
LINC02542,NF,34
HMOX1,NDE,34
CCDC93,NDE,34
IL1F10,NF,34
VEPH1,NDE,33
LOC285766,NF,33
LOC101928236,NF,33
PTCHD1-AS,NF,33
LOC728752,NF,33
RAD51B,NDE,33
RTL5,NDE,33
SEPT9,NDE,33
MARK1,NDE,33
DDI2,NDE,33
UG0898H09,NDE,33
L3MBTL4,NDE,33
BARX2,NDE,33
ZNF566,NDE,33
TBC1D30,NDE,33
LOC105376240,NF,32
LOC101926956,NF,32
BBOX1,NDE,32
LOC100507065,NF,32
CNTNAP5,NF,32
LOC105376455,NF,32
RAB18,NDE,32
LOC102723413,NF,32
LOC105372407,NF,32
LOC105378392,NF,32
GALNT15,NDE,32
RSPO4,NDE,32
FHIT,NDE,32
REPS1,NDE,31
LOC101927787,NF,31
DENND1A,NDE,31
UBE2DNL,NF,31
LOC105373186,NF,31
MRPS18C,NDE,31
LOC105378339,NF,31
LOC105376759,NF,31
LOC107985255,NF,31
LINC00407,NF,31
GMDS-AS1,NF,31
LOC105372895,NF,31
LOC105370185,NF,31
IRAK3,NDE,31
EFEMP2,NDE,30
CLEC2B,NDE,30
LOC105378557,NF,30
ZNF81,NF,30
TMEM51-AS1,NF,30
DICER1-AS1,NDE,30
VDR,NDE,30
PCDH9,NDE,30
EGF,NDE,30
LOC101928389,NF,30
C1orf87,NF,30
PSKH1,NDE,29
FAM3D,NF,29
LOC105369551,NF,29
RNF44,NDE,29
PYROXD2,NDE,29
LINC00871,NF,29
PBLD,NDE,29
NRXN3,NDE,29
LOC105373177,NF,29
ASAP1,NDE,29
KYNU,NDE,28
MTRNR2L10,NF,28
LOC107986931,NF,28
PIK3C3,NDE,28
TTC3,NDE,28
FLJ12825,NF,28
LOC105369322,NF,28
THRA,NDE,28
LOC105378930,NF,28
LOC105373444,NF,28
ABR,NDE,27
MRE11,NDE,27
LOC105371392,NF,27
ADCYAP1R1,NDE,27
ARGFXP2,NF,27
PNISR,NDE,27
LOC105376253,NF,27
LOC107986784,NF,27
GPC4,NDE,27
RPS6KC1,NDE,26
LOC101929386,NF,26
NKPD1,NDE,26
ZNF33A,NDE,26
LOC102724832,NF,26
WWC3,NDE,26
LOC105370121,NF,26
CHRM5,NDE,26
TOLLIP,NDE,26
TEX13C,NF,26
SACS,NDE,26
LOC101929340,NF,25
PGM1,NDE,25
LRP1B,NDE,25
EFCAB2,NDE,25
USH2A,NDE,25
SPTA1,NF,25
HMGCS2,NDE,25
ZNF106,NDE,25
LINC00643,NF,25
LINC01197,NF,25
CFL1P1,NF,25
ERLIN1,NDE,25
HPS1,NDE,25
TNFRSF1A,NDE,25
ZMYM6,NDE,24
TIMM17A,NDE,24
CLDN2,NDE,24
LOC105377916,NF,24
LOC101927354,NF,24
FOSL2,NDE,24
LINC01088,NDE,24
SOX21-AS1,NDE,24
SLC8A3,NDE,24
LOC107986600,NF,24
PARVB,NF,24
SEPHS1,NDE,24
TMEM35B,NDE,24
LOC100507103,NF,24
MYO9A,NDE,24
LOC105369468,NF,24
LOC105378552,NF,24
LOC101928331,NF,24
LOC102723833,NF,23
TMEM232,NF,23
MBNL2,NDE,23
ZNF221,NF,23
PRPF4B,NDE,23
DLG2,NDE,23
OR52A1,NDE,23
DPP10,NDE,23
KRT76,NF,23
RFX4,NDE,23
GSDME,NDE,23
LOC107985242,NF,23
PDZRN3,NDE,23
SFTA1P,NF,23
CLIC4,NDE,23
LOC100287944,NF,23
LOC107985725,NF,22
ZNF337,NDE,22
SYTL5,NDE,22
HNRNPUL2-BSCL2,NF,22
CAPN13,NF,22
LINC02252,NF,22
SLAMF9,NDE,22
FAT4,NDE,22
LOC105370546,NF,22
ZNF678,NDE,22
LINGO2,NDE,22
CREB5,NDE,22
CA5A,NDE,22
CLVS2,NDE,22
PNMA6F,NF,22
ING4,NDE,22
TTC9C,NDE,22
DOCK3,NDE,22
HNRNPUL2,NDE,22
LINC01751,NF,22
HYDIN,NDE,21
B3GALT1,NDE,21
RUNX1,NDE,21
LOC105371953,NF,21
CELF2-AS2,NF,21
RANBP3,NDE,21
LOC107986718,NF,21
SLC35F4,NF,21
MICAL2,NDE,21
FGF14-IT1,NF,21
NAV2,NDE,21
FRMD4B,NDE,21
TYMP,NDE,21
LIMS1-AS1,NF,21
MIR302E,NF,21
LIMS1,NDE,21
MAPK10,NDE,20
TMEM266,NF,20
NCBP1,NDE,20
HORMAD2-AS1,NF,20
USP26,NF,20
OR6S1,NF,20
NDUFV1,NDE,20
LINC02550,NF,20
RDH12,NDE,20
MAGI2,NDE,20
LOC105371302,NF,20
BTAF1,NDE,20
ZNF397,NDE,19
LOC105371746,NF,19
RECQL,NDE,19
KLHL4,NDE,19
MBNL1,NDE,19
LCLAT1,NDE,19
ZDHHC7,NDE,19
CHADL,NF,19
ZSCAN30,NDE,19
ITGA11,NDE,19
MIPEPP3,NDE,19
SETD7,NDE,19
FAM184B,NF,19
LOC105369791,NF,19
RNF169,NDE,19
WDFY4,NDE,19
L3MBTL2,NDE,19
PDSS1,NDE,19
RNF165,NDE,19
ARHGEF9,NDE,19
LINC00539,NF,19
LIN28B,NDE,19
LOC100506544,NF,19
PXDNL,NF,19
LOC105379315,NF,19
LOC105373790,NF,18
ACER3,NDE,18
MIR147B,NF,18
THRAP3,NDE,18
LOC107986284,NF,18
LOC105373601,NF,18
LOC107985551,NF,18
CTB-49A3.2,NF,18
NT5C2,NDE,18
SH3RF1,NDE,18
SLC44A5,NDE,18
LOC105372202,NF,18
VPS72,NDE,18
ENO4,NDE,18
C15orf48,NF,18
MTMR8,NDE,18
INTS6,NDE,18
NAGA,NDE,18
UBE3D,NDE,17
LOC105377207,NF,17
RBM28,NDE,17
PIGZ,NDE,17
RAB21,NDE,17
ERCC4,NDE,17
LOC102724830,NF,17
NUP37,NF,17
TEF,NDE,17
ARHGEF18,NDE,17
LOC107984098,NF,17
LGALS13,NF,17
CDK13,NDE,17
LOC105377177,NF,17
LOC105378521,NF,17
DDX52,NDE,17
MARCH5,NDE,17
MIR548L,NF,17
PIWIL1,NDE,17
LMOD1,NDE,17
ANKFN1,NDE,16
TNNC2,NDE,16
LINC00870,NF,16
CD47,NDE,16
AP5M1,NDE,16
LOC105369155,NF,16
ZNF155,NDE,16
SCML4,NDE,16
LOC101927296,NF,16
ITGB3BP,NDE,16
LOC105370073,NF,16
LOC105377349,NF,16
PTPN14,NDE,16
GPD1L,NDE,16
LRRC29,NF,16
TAF1,NDE,16
SV2C,NDE,16
CYTIP,NDE,16
TMEM208,NDE,16
TBC1D3P1-DHX40P1,NF,16
RRH,NF,16
RYR3,NDE,16
LINC01182,NF,16
LOC102724785,NF,16
RNFT1-DT,NF,16
CDH2,NDE,15
LOC105377254,NF,15
LOC105379057,NF,15
GABRA5,NDE,15
MED1,NDE,15
SAFB,NDE,15
SMPX,NDE,15
LOC107986183,NF,15
LINC01739,NF,15
ANXA13,NDE,15
TPD52L3,NF,15
PRKCB,NDE,15
CSNK2A2,NDE,15
LOC105375739,NF,15
LOC102724584,NF,15
KCNH5,NDE,15
KPNA6,NDE,15
LOC285500,NF,15
PDSS2,NDE,15
DSCAML1,NDE,15
FAM107A,NDE,15
PCOLCE2,NDE,15
LINC02411,NF,15
LMX1A,NDE,15
NAPB,NDE,15
LOC105374996,NF,15
KATNBL1,NDE,15
LOC105374955,NF,15
AFF3,NDE,15
FRMD6,NDE,15
FRMD6-AS2,NF,15
MYO5A,NDE,14
GBP4,NDE,14
LOC105370470,NF,14
ST6GALNAC6,NF,14
DCC,NDE,14
ST6GALNAC4,NDE,14
UBE2H,NDE,14
CATSPERE,NF,14
LINC02180,NF,14
EVC2,NDE,14
MIR325HG,NF,14
LOC101927385,NF,14
PDZD8,NDE,14
CTTNBP2NL,NDE,14
LOC105373117,NF,14
RIPOR3,NDE,14
LOC105379354,NF,14
ITPKB,NDE,14
PPP2R2B,NDE,14
LOC105371664,NF,14
LOC107986215,NF,14
INTS7,NDE,14
DUOX1,NDE,14
COQ2,NDE,14
LPAR5,NDE,14
POLA1,NDE,14
GC,NDE,14
LOC107984469,NF,14
LOC105373835,NF,14
LINC02177,NF,14
OR51D1,NF,14
LOC105369631,NF,14
BCORL1,NDE,14
EFCAB7,NDE,14
LOC105373504,NF,14
FAM126B,NDE,14
ZNF767P,NF,14
AMT,NDE,14
PMS1,NDE,14
PECAM1,NDE,14
COL28A1,NDE,13
NMU,NDE,13
PIGP,NDE,13
LOC107985241,NF,13
VIPR1,NF,13
EYA2,NDE,13
TRPC4,NDE,13
NRG4,NDE,13
JMY,NDE,13
HPN-AS1,NF,13
UGT2B10,NF,13
LOC107986844,NF,13
DLC1,NDE,13
CHD1L,NDE,13
PRKG1,NDE,13
ZW10,NDE,13
LOC105379179,NF,13
DLGAP1,NDE,13
LOC105373538,NF,13
LOC107985447,NF,13
CBLN2,NDE,13
ZNF117,NDE,13
ZFPM2,NDE,13
RBPMS,NDE,13
ZC2HC1B,NF,13
EMC1,NDE,13
LOC101927895,NF,13
GPAT4,NDE,13
HEMK1,NDE,13
TYK2,NDE,13
LOC102724530,NF,13
DAPK2,NDE,13
TDP1,NDE,13
GPR21,NF,13
LOC105372762,NF,13
RUBCNL,NDE,13
USP53,NDE,12
GRIN2B,NDE,12
LOC400794,NF,12
C7orf57,NF,12
LOC102723436,NF,12
LOC101927822,NF,12
GAREM1,NDE,12
ZBTB40,NDE,12
C5orf66,NF,12
LOC105373314,NF,12
PARD3B,NF,12
LOC102724084,NF,12
MIR646HG,NF,12
CAMK2D,NDE,12
C16orf74,NF,12
CREB3L2,NDE,12
LOC105376463,NF,12
MYRFL,NF,12
RBPMS2,NDE,12
LINC01153,NF,12
LOC102724465,NF,12
PBX3,NDE,12
RALGAPA1,NDE,12
LOC105370115,NF,12
SAGE2P,NF,12
FMO5,NDE,12
BRD2,NDE,12
LOC107985400,NF,11
LOC105377284,NF,11
LOC105373083,NF,11
NFIA-AS2,NF,11
NR1H4,NDE,11
LOC105371756,NF,11
HTT,NDE,11
FAM19A5,NDE,11
FBXO34,NDE,11
LOC107986195,NF,11
ADAMTSL1,NDE,11
CYB5D2,NDE,11
DCTN1,NF,11
AHCYL2,NDE,11
LOC107984012,NF,11
CNGA2,NF,11
STAT2,NDE,11
LOC105372988,NF,11
FHOD3,NDE,11
ZNF236,NDE,11
NTNG1,NF,11
ZBTB44,NDE,11
LOC105375556,NF,11
ARMC4P1,NF,11
TRIM16,NDE,11
C10orf90,NF,11
SAMD4A,NDE,11
TFCP2L1,NDE,11
FRAS1,NDE,11
NMNAT3,NDE,11
FMN2,NDE,11
OR2L13,NF,11
MATN4,NDE,11
CCDC85C,NDE,11
LOC102723803,NF,11
MIB1,NDE,11
LOC105373275,NF,11
CORO2A,NDE,11
LOC107986178,NF,11
NAV2-AS4,NF,10
KALRN,NDE,10
NANP,NDE,10
LOC101927947,NF,10
FAM49B,NDE,10
RASGRF2,NDE,10
LOC105370730,NF,10
LINC01899,NF,10
KIT,NDE,10
LOC105378102,NF,10
TTC19,NDE,10
LOC101928278,NF,10
SLC6A1,NDE,10
PSMD14,NDE,10
ANKRD49,NF,10
MRPS27,NDE,10
LOC105376360,NF,10
EIF3A,NDE,10
LOC107986633,NF,10
XPO6,NDE,10
UMAD1,NDE,10
LAMA4,NDE,10
FAM19A4,NDE,10
LINC01499,NF,10
GLG1,NDE,10
ANO5,NDE,10
AGR3,NDE,10
FOXO3,NDE,10
KIAA0141,NDE,10
NME7,NDE,10
POU2F3,NDE,10
HIVEP3,NDE,10
LOC105379151,NF,10
FGF2,NDE,10
LOC101928978,NF,10
HPX,NDE,10
MED12L,NDE,9
CSF2RB,NDE,9
LOC105374122,NF,9
PPP1R10,NDE,9
SEMA5A,NDE,9
ERC2,NDE,9
EHD4-AS1,NF,9
IFT88,NDE,9
LOC101927636,NF,9
LOC107986442,NF,9
LINC00571,NF,9
LOC107986618,NF,9
LINC00917,NF,9
NT5C1B,NF,9
GOT1,NDE,9
LOC105370732,NF,9
MCF2L2,NF,9
PKIB,NDE,9
LOC105377337,NF,9
LOC105373456,NF,9
FAM96A,NDE,9
LOC107985092,NF,9
PLCB4,NDE,9
LOC105375974,NF,9
BTC,NDE,9
LINC02360,NF,9
CTBS,NDE,9
HPSE,NDE,9
NT5C1B-RDH14,NF,9
TARID,NF,9
MYO15A,NF,9
NRP1,NDE,9
MAGEB6,NF,9
IQCH,NDE,9
CWC25,NDE,9
ABHD8,NF,9
DRG2,NDE,9
EHD4,NDE,9
ZNF746,NDE,9
SNX1,NDE,9
DIP2B,NF,9
FAM135B,NDE,9
KLF13,NDE,9
LRRC57,NDE,9
LOC105371566,NF,9
PDE4B,NF,9
WASF3,NDE,8
HAO1,NDE,8
LOC101929200,NF,8
SYT16,NDE,8
LOC105378819,NF,8
IL7R,NDE,8
LECT2,NDE,8
SLC1A2,NDE,8
LINC02520,NF,8
TATDN1,NDE,8
LOC105370310,NF,8
SPRR2G,NF,8
TMEM71,NDE,8
CCNY,NDE,8
KCNH8,NDE,8
NR2C2,NDE,8
GOLM1,NDE,8
GLT1D1,NDE,8
TMTC2,NDE,8
OR2B11,NF,8
STXBP4,NDE,8
NDUFB9,NDE,8
LOC105372071,NF,8
TMEM164,NDE,8
PNPLA4,NDE,8
LSM14B,NDE,8
LOC102723493,NF,8
HPCA,NDE,8
RABGAP1L,NDE,8
CACNA2D1,NDE,8
LOC105372706,NF,8
LOC107984218,NF,8
WBP2NL,NDE,8
LOC105376247,NF,8
LOC105374217,NF,8
DAAM1,NDE,8
KLF12,NDE,8
SLC24A1,NF,8
ZNF585A,NDE,8
LOC105379380,NF,8
NT5DC4,NF,8
ANK1,NDE,8
LOC101929251,NF,8
ATP8A2,NDE,8
LOC105370196,NF,8
FRYL,NDE,8
DLGAP1-AS2,NDE,8
AGBL1,NDE,8
TMOD3,NDE,8
TENM3,NDE,8
OSGEP,NDE,8
EP400,NDE,8
LOC101928591,NF,8
HPSE2,NDE,8
GPR171,NF,8
CDYL2,NF,8
FREM3,NF,8
RAB8B,NDE,8
MTERF4,NDE,8
PLXNA2,NDE,8
OTULIN,NDE,8
ALDH18A1,NDE,8
LOC107986422,NF,8
DCUN1D5,NDE,8
ARHGAP39,NDE,8
CCDC102B,NDE,7
LOC101930149,NF,7
CHST11,NDE,7
LOC102724859,NF,7
TEKT1,NDE,7
GABRB3,NDE,7
OVOL2,NDE,7
DNMT3B,NDE,7
LOC107985072,NF,7
LOC107985434,NF,7
LOC107985325,NF,7
TACR3,NDE,7
LOC107985520,NF,7
DSG1-AS1,NF,7
CCDC113,NDE,7
LOC105616981,NF,7
EYA4,NDE,7
LOC105376542,NF,7
LOC105370476,NF,7
CFAP54,NF,7
RNF6,NDE,7
SGMS2,NDE,7
CDH20,NDE,7
EIPR1,NDE,7
LOC107984814,NF,7
TEX41,NDE,7
GPR161,NDE,7
HELZ,NDE,7
LOC107986635,NF,7
PTGIR,NDE,7
ATP10B,NDE,7
MSRA,NDE,7
ZADH2,NDE,7
LOC105370733,NF,7
SMC3,NDE,7
MICB,NDE,7
C20orf173,NF,7
ERI3,NDE,7
GZF1,NDE,7
PDE7B,NDE,7
TCTA,NDE,7
IQCJ-SCHIP1,NF,7
HTRA1,NDE,7
SMAD2,NDE,7
EDN3,NDE,7
CSNK2A1,NDE,7
LINC01256,NF,7
SKAP2,NDE,7
GP6,NF,7
RTL4,NF,7
CCDC18,NDE,7
LINC00536,NF,7
C20orf203,NF,7
STEAP4,NDE,7
PCDH9-AS2,NF,7
CUBN,NDE,7
KCNC1,NDE,7
LOC101927556,NF,7
LANCL3,NDE,7
BMP2K,NDE,6
SMIM31,NF,6
AURKC,NDE,6
HUNK,NDE,6
PAOX,NDE,6
LOC107986479,NF,6
FKBP3,NDE,6
OCA2,NDE,6
PRKCQ,NDE,6
CXCL13,NDE,6
LOC107986308,NF,6
LARS2-AS1,NF,6
LOC107985090,NF,6
HDC,NDE,6
LOC105374121,NF,6
TSHR,NDE,6
THSD4,NDE,6
LOC107984121,NF,6
RAB3C,NDE,6
DOCK10,NDE,6
CCDC73,NDE,6
GTDC1,NDE,6
SLC25A21,NDE,6
LOC105370583,NF,6
LOC105375523,NF,6
LOC101928735,NF,6
ST6GALNAC5,NDE,6
ZNF815P,NF,6
LOC105374322,NF,6
DPY19L1P1,NDE,6
LOC105372072,NF,6
DTNB,NDE,6
RNGTT,NF,6
SNX7,NDE,6
LOC105375402,NF,6
PIGO,NF,6
UBASH3B,NDE,6
IQCJ,NF,6
LOC105378262,NF,6
LOC107984187,NF,6
ASTN1,NDE,6
LOC101927845,NF,6
MEF2A,NDE,6
LDLRAD3,NDE,6
CDC20B,NDE,6
PRKDC,NDE,6
FRMD4A,NDE,6
FAXDC2,NDE,6
TRMT44,NDE,6
DSCAM,NDE,6
GLIS1,NDE,6
LOC105376481,NF,6
CPNE8,NDE,6
ITGA3,NDE,6
LOC105372073,NF,6
TENM2,NDE,6
ACADS,NDE,6
TLDC1,NDE,6
APPL2,NDE,6
LOC105374689,NF,6
PRR25,NF,6
LINC01847,NF,6
SLC14A2,NDE,6
ARHGAP44,NDE,6
RPN2,NDE,6
PKNOX2,NDE,6
TEX11,NDE,6
LOC339862,NF,6
OR2H1,NF,6
LOC101929232,NF,6
KIFAP3,NDE,6
SLC9A7,NDE,6
LOC105371980,NF,6
TTC17,NDE,6
IKZF2,NDE,6
LOC105376637,NF,6
LOC100130207,NF,6
GABRB2,NDE,6
C15orf41,NF,6
SCO1,NDE,6
LOC101928462,NF,6
ZNF318,NDE,6
CA5B,NDE,6
LRRK1,NDE,6
SETBP1,NDE,6
MAP7,NDE,6
SLC45A2,NDE,6
LINC00456,NF,6
LINC02389,NF,6
RBM47,NDE,6
PRKCA,NDE,6
ADAMTS16,NDE,6
ANTXR2,NDE,6
PGBD5,NDE,6
LOC105379641,NF,6
XPR1,NDE,5
TTC3-AS1,NF,5
LINC02181,NF,5
USP7,NDE,5
SIGLEC9,NF,5
PLPPR1,NDE,5
NDST4,NDE,5
RCBTB1,NDE,5
LRRC52,NF,5
HIF3A,NDE,5
NADK2,NDE,5
KCNIP4,NDE,5
TRAF3,NF,5
AGL,NDE,5
LOC105378986,NF,5
DOK1,NDE,5
DDAH1,NDE,5
KNCN,NDE,5
ZNF449,NDE,5
CLTA,NDE,5
